GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309347057,311721632,314112078,316497531,318857056
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262452132,262464443,263042209,265420613,267863537,270277514,272667942
0100000US,,United States,310M200US10180,10180,"United States - In metropolitan statistical area - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165252,165642,166637,167529,167452,168592
0100000US,,United States,310M200US10420,10420,"United States - In metropolitan statistical area - Akron, OH Metro Area","Akron, OH Metro Area",703200,703207,702967,702881,702203,703210,703825
0100000US,,United States,310M200US10500,10500,"United States - In metropolitan statistical area - Albany, GA Metro Area","Albany, GA Metro Area",157308,157500,157663,157791,157355,155790,154925
0100000US,,United States,310M200US10540,10540,"United States - In metropolitan statistical area - Albany, OR Metro Area","Albany, OR Metro Area",116672,116672,116871,118117,118360,118644,119356
0100000US,,United States,310M200US10580,10580,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870720,870954,872966,875270,878479,880167
0100000US,,United States,310M200US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887075,889649,897091,901016,903345,904587
0100000US,,United States,310M200US10780,10780,"United States - In metropolitan statistical area - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153922,154127,154419,154487,154903,154872
0100000US,,United States,310M200US10900,10900,"United States - In metropolitan statistical area - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,822083,825229,827109,827044,829835
0100000US,,United States,310M200US11020,11020,"United States - In metropolitan statistical area - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127078,127030,127175,126999,126379,125955
0100000US,,United States,310M200US11100,11100,"United States - In metropolitan statistical area - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251933,252696,255988,257755,258833,259885
0100000US,,United States,310M200US11180,11180,"United States - In metropolitan statistical area - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89596,90896,91721,93410,94073
0100000US,,United States,310M200US11260,11260,"United States - In metropolitan statistical area - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383120,388140,392431,397521,398892
0100000US,,United States,310M200US11460,11460,"United States - In metropolitan statistical area - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345066,345525,349150,351301,354418,356874
0100000US,,United States,310M200US11500,11500,"United States - In metropolitan statistical area - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118443,117760,117264,116547,115916
0100000US,,United States,310M200US11540,11540,"United States - In metropolitan statistical area - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,225666,225850,227411,228581,229869,231497
0100000US,,United States,310M200US11700,11700,"United States - In metropolitan statistical area - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,424859,425465,428436,432142,437661,442316
0100000US,,United States,310M200US12020,12020,"United States - In metropolitan statistical area - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",192541,192541,193476,194658,196405,197884,199016
0100000US,,United States,310M200US12060,12060,"United States - In metropolitan statistical area - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286727,5304207,5374825,5456472,5525432,5614323
0100000US,,United States,310M200US12100,12100,"United States - In metropolitan statistical area - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274549,274549,274762,274923,275566,276167,275209
0100000US,,United States,310M200US12220,12220,"United States - In metropolitan statistical area - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140247,140296,140799,144146,148040,151708,154255
0100000US,,United States,310M200US12260,12260,"United States - In metropolitan statistical area - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",564873,564873,566683,571047,576755,580230,583632
0100000US,,United States,310M200US12420,12420,"United States - In metropolitan statistical area - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",1716289,1716303,1727743,1782089,1836149,1885803,1943299
0100000US,,United States,310M200US12540,12540,"United States - In metropolitan statistical area - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",839631,839631,841762,849872,856502,865923,874589
0100000US,,United States,310M200US12580,12580,"United States - In metropolitan statistical area - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2710489,2710597,2715625,2735205,2756231,2774050,2785874
0100000US,,United States,310M200US12620,12620,"United States - In metropolitan statistical area - Bangor, ME Metro Area","Bangor, ME Metro Area",153923,153920,153831,153799,153612,153479,153414
0100000US,,United States,310M200US12700,12700,"United States - In metropolitan statistical area - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",215888,215888,215903,215335,214845,214836,214914
0100000US,,United States,310M200US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",802484,802500,804491,808657,814993,820409,825478
0100000US,,United States,310M200US12980,12980,"United States - In metropolitan statistical area - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",136146,136148,135998,135282,134760,134830,134878
0100000US,,United States,310M200US13020,13020,"United States - In metropolitan statistical area - Bay City, MI Metro Area","Bay City, MI Metro Area",107771,107771,107695,107477,107084,106936,106179
0100000US,,United States,310M200US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",403190,403190,403748,405275,403832,405424,405427
0100000US,,United States,310M200US13220,13220,"United States - In metropolitan statistical area - Beckley, WV Metro Area","Beckley, WV Metro Area",124898,124901,124902,125187,125020,124196,123373
0100000US,,United States,310M200US13380,13380,"United States - In metropolitan statistical area - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201140,201518,203329,204827,206248,208351
0100000US,,United States,310M200US13460,13460,"United States - In metropolitan statistical area - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157733,157828,159786,161746,165955,170388
0100000US,,United States,310M200US13740,13740,"United States - In metropolitan statistical area - Billings, MT Metro Area","Billings, MT Metro Area",158934,158934,159338,160761,162839,165222,166885
0100000US,,United States,310M200US13780,13780,"United States - In metropolitan statistical area - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251725,251469,250251,249005,248362,247219
0100000US,,United States,310M200US13820,13820,"United States - In metropolitan statistical area - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128056,1129034,1131010,1134297,1139556,1143772
0100000US,,United States,310M200US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114778,115233,117393,120293,123993,126597
0100000US,,United States,310M200US13980,13980,"United States - In metropolitan statistical area - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178254,178512,178911,179558,180952,181605
0100000US,,United States,310M200US14010,14010,"United States - In metropolitan statistical area - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186421,187282,188910,191294,190345
0100000US,,United States,310M200US14020,14020,"United States - In metropolitan statistical area - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159542,160107,161855,162652,163190,164308
0100000US,,United States,310M200US14100,14100,"United States - In metropolitan statistical area - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85656,85309,85415,85674,85763
0100000US,,United States,310M200US14260,14260,"United States - In metropolitan statistical area - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616561,617923,627627,637651,650457,664422
0100000US,,United States,310M200US14460,14460,"United States - In metropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4564659,4608848,4650668,4698049,4732161
0100000US,,United States,310M200US14500,14500,"United States - In metropolitan statistical area - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294571,295967,300650,305483,310396,313333
0100000US,,United States,310M200US14540,14540,"United States - In metropolitan statistical area - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158599,159181,160504,162352,163841,165732
0100000US,,United States,310M200US14740,14740,"United States - In metropolitan statistical area - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251133,251650,254372,254659,253205,254183
0100000US,,United States,310M200US14860,14860,"United States - In metropolitan statistical area - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916828,919506,928722,935290,942119,945438
0100000US,,United States,310M200US15180,15180,"United States - In metropolitan statistical area - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406220,407672,413188,416048,418217,420392
0100000US,,United States,310M200US15260,15260,"United States - In metropolitan statistical area - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112574,113034,113437,114012,114806
0100000US,,United States,310M200US15380,15380,"United States - In metropolitan statistical area - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135541,1135342,1135411,1135067,1136153,1136360
0100000US,,United States,310M200US15500,15500,"United States - In metropolitan statistical area - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151241,151551,152866,153672,154685,155792
0100000US,,United States,310M200US15540,15540,"United States - In metropolitan statistical area - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211508,212837,213874,215072,216167
0100000US,,United States,310M200US15680,15680,"United States - In metropolitan statistical area - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105151,105740,107757,108999,109484,110382
0100000US,,United States,310M200US15940,15940,"United States - In metropolitan statistical area - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404420,404202,403119,403404,403493,403923
0100000US,,United States,310M200US15980,15980,"United States - In metropolitan statistical area - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620521,631412,644988,661336,679513
0100000US,,United States,310M200US16020,16020,"United States - In metropolitan statistical area - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96421,97027,97235,97617,97929
0100000US,,United States,310M200US16060,16060,"United States - In metropolitan statistical area - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126819,127107,126984,127069,126685
0100000US,,United States,310M200US16180,16180,"United States - In metropolitan statistical area - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,55260,54747,54578,54061,54522
0100000US,,United States,310M200US16220,16220,"United States - In metropolitan statistical area - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75466,76416,78686,81143,81624
0100000US,,United States,310M200US16300,16300,"United States - In metropolitan statistical area - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257940,258360,260862,261686,262348,263885
0100000US,,United States,310M200US16540,16540,"United States - In metropolitan statistical area - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149908,151004,151589,152191,152892
0100000US,,United States,310M200US16580,16580,"United States - In metropolitan statistical area - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232250,233332,234514,236015,237252
0100000US,,United States,310M200US16620,16620,"United States - In metropolitan statistical area - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227071,227000,225879,225800,224683,222878
0100000US,,United States,310M200US16700,16700,"United States - In metropolitan statistical area - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664643,667724,681482,697435,712081,727689
0100000US,,United States,310M200US16740,16740,"United States - In metropolitan statistical area - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2223894,2257149,2295879,2337339,2380314
0100000US,,United States,310M200US16820,16820,"United States - In metropolitan statistical area - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218710,219076,221339,223151,224778,226968
0100000US,,United States,310M200US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528145,529103,533162,537997,542161,544559
0100000US,,United States,310M200US16940,16940,"United States - In metropolitan statistical area - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92199,92607,94849,96015,96389
0100000US,,United States,310M200US16980,16980,"United States - In metropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461537,9470069,9493464,9519316,9544796,9554598
0100000US,,United States,310M200US17020,17020,"United States - In metropolitan statistical area - Chico, CA Metro Area","Chico, CA Metro Area",220000,220000,219924,220025,221279,222420,224241
0100000US,,United States,310M200US17140,17140,"United States - In metropolitan statistical area - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114755,2117863,2123332,2129786,2138536,2149449
0100000US,,United States,310M200US17300,17300,"United States - In metropolitan statistical area - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260610,261814,264611,275522,273453,278353
0100000US,,United States,310M200US17420,17420,"United States - In metropolitan statistical area - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115788,115965,116657,117730,118537,119705
0100000US,,United States,310M200US17460,17460,"United States - In metropolitan statistical area - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077246,2075558,2068399,2064570,2065328,2063598
0100000US,,United States,310M200US17660,17660,"United States - In metropolitan statistical area - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138494,138890,141045,142297,144357,147326
0100000US,,United States,310M200US17780,17780,"United States - In metropolitan statistical area - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228660,229478,231578,234373,238245,242905
0100000US,,United States,310M200US17820,17820,"United States - In metropolitan statistical area - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645611,650351,660278,669100,678711,686908
0100000US,,United States,310M200US17860,17860,"United States - In metropolitan statistical area - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162642,163182,165922,168592,170929,172717
0100000US,,United States,310M200US17900,17900,"United States - In metropolitan statistical area - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767477,769661,776630,784279,792422,800495
0100000US,,United States,310M200US17980,17980,"United States - In metropolitan statistical area - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295529,296454,302513,311711,317126,314005
0100000US,,United States,310M200US18020,18020,"United States - In metropolitan statistical area - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76848,77621,78903,79549,80217
0100000US,,United States,310M200US18140,18140,"United States - In metropolitan statistical area - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902015,1906177,1925540,1945659,1969032,1994536
0100000US,,United States,310M200US18580,18580,"United States - In metropolitan statistical area - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,428026,431051,437012,443448,448108
0100000US,,United States,310M200US18700,18700,"United States - In metropolitan statistical area - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85581,85531,85983,86380,85960,86316
0100000US,,United States,310M200US18880,18880,"United States - In metropolitan statistical area - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,236006,238954,247712,253309,258042
0100000US,,United States,310M200US19060,19060,"United States - In metropolitan statistical area - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103299,103236,102620,101816,101238,100530
0100000US,,United States,310M200US19100,19100,"United States - In metropolitan statistical area - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426210,6452725,6574866,6710066,6823113,6954330
0100000US,,United States,310M200US19140,19140,"United States - In metropolitan statistical area - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142317,142504,142581,142385,142952
0100000US,,United States,310M200US19180,19180,"United States - In metropolitan statistical area - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81595,81358,80764,80418,79728
0100000US,,United States,310M200US19300,19300,"United States - In metropolitan statistical area - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183216,186694,190561,195443,200111
0100000US,,United States,310M200US19340,19340,"United States - In metropolitan statistical area - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,380241,380926,382139,383230,383030
0100000US,,United States,310M200US19380,19380,"United States - In metropolitan statistical area - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799216,800245,801334,802234,801645,800836
0100000US,,United States,310M200US19460,19460,"United States - In metropolitan statistical area - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153863,153914,153833,153199,153084
0100000US,,United States,310M200US19500,19500,"United States - In metropolitan statistical area - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110757,110582,110043,109435,108350
0100000US,,United States,310M200US19660,19660,"United States - In metropolitan statistical area - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,590678,591753,595602,601151,609939
0100000US,,United States,310M200US19740,19740,"United States - In metropolitan statistical area - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543594,2554335,2600843,2647780,2699750,2754258
0100000US,,United States,310M200US19780,19780,"United States - In metropolitan statistical area - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571883,580741,589453,600086,611549
0100000US,,United States,310M200US19820,19820,"United States - In metropolitan statistical area - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4291176,4287145,4292912,4295394,4296611
0100000US,,United States,310M200US20020,20020,"United States - In metropolitan statistical area - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145639,145867,146655,147618,147592,148095
0100000US,,United States,310M200US20100,20100,"United States - In metropolitan statistical area - Dover, DE Metro Area","Dover, DE Metro Area",162310,162344,162954,165214,167666,169562,171987
0100000US,,United States,310M200US20220,20220,"United States - In metropolitan statistical area - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93893,94507,95147,95912,96370
0100000US,,United States,310M200US20260,20260,"United States - In metropolitan statistical area - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279789,279907,279614,279942,280218
0100000US,,United States,310M200US20500,20500,"United States - In metropolitan statistical area - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506634,508063,515828,525026,533622,542710
0100000US,,United States,310M200US20700,20700,"United States - In metropolitan statistical area - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169842,169940,169860,168465,167130,166314
0100000US,,United States,310M200US20740,20740,"United States - In metropolitan statistical area - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161390,161633,162838,163891,164903,165024
0100000US,,United States,310M200US20940,20940,"United States - In metropolitan statistical area - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174779,176300,177443,177517,179091
0100000US,,United States,310M200US21060,21060,"United States - In metropolitan statistical area - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148339,149897,151295,150413,151395,151585
0100000US,,United States,310M200US21140,21140,"United States - In metropolitan statistical area - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197441,198480,199236,200591,201971
0100000US,,United States,310M200US21300,21300,"United States - In metropolitan statistical area - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88830,88947,88973,89231,88485,87770
0100000US,,United States,310M200US21340,21340,"United States - In metropolitan statistical area - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,807089,823134,834477,834630,836698
0100000US,,United States,310M200US21500,21500,"United States - In metropolitan statistical area - Erie, PA Metro Area","Erie, PA Metro Area",280566,280566,280720,280938,280801,279760,278443
0100000US,,United States,310M200US21660,21660,"United States - In metropolitan statistical area - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351715,351852,353491,354481,355661,358337
0100000US,,United States,310M200US21780,21780,"United States - In metropolitan statistical area - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311552,311778,312589,313298,314429,315162
0100000US,,United States,310M200US21820,21820,"United States - In metropolitan statistical area - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97581,98174,98029,100227,100807,99357
0100000US,,United States,310M200US22020,22020,"United States - In metropolitan statistical area - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209423,212835,217052,223853,228291
0100000US,,United States,310M200US22140,22140,"United States - In metropolitan statistical area - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130155,128035,128367,126448,123785
0100000US,,United States,310M200US22180,22180,"United States - In metropolitan statistical area - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366383,367727,373329,373566,377619,377939
0100000US,,United States,310M200US22220,22220,"United States - In metropolitan statistical area - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,465699,474222,483029,492375,501653
0100000US,,United States,310M200US22380,22380,"United States - In metropolitan statistical area - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134437,134603,134159,135949,136690,137682
0100000US,,United States,310M200US22420,22420,"United States - In metropolitan statistical area - Flint, MI Metro Area","Flint, MI Metro Area",425790,425790,424976,421716,418058,415623,412895
0100000US,,United States,310M200US22500,22500,"United States - In metropolitan statistical area - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205713,205746,206225,206380,207030
0100000US,,United States,310M200US22520,22520,"United States - In metropolitan statistical area - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147137,147137,147231,147042,147167,147273,147639
0100000US,,United States,310M200US22540,22540,"United States - In metropolitan statistical area - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101633,101633,101645,101792,101702,101648,101759
0100000US,,United States,310M200US22660,22660,"United States - In metropolitan statistical area - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",299630,299630,300484,305241,310835,316494,324122
0100000US,,United States,310M200US22900,22900,"United States - In metropolitan statistical area - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280467,280515,280729,281012,280704,279930,279592
0100000US,,United States,310M200US23060,23060,"United States - In metropolitan statistical area - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416257,416255,416850,419757,421780,424570,427183
0100000US,,United States,310M200US23420,23420,"United States - In metropolitan statistical area - Fresno, CA Metro Area","Fresno, CA Metro Area",930450,930452,932642,941260,948240,956102,965974
